,MATICUSDT,ETHUSDT,spread,zscore
98,0.848,2185.35,-0.09932502383559705,-1.4012820600560618
99,0.848,2170.87,-0.09304810419108267,-1.12363462529072
100,0.848,2194.0,-0.10307470304312816,-1.3523168359674957
101,0.848,2175.9,-0.09522855348748516,-0.9800207622821214
102,0.848,2168.39,-0.09197305165528191,-0.7912369816423395
103,0.848,2179.47,-0.09677610895232736,-0.8836317526983096
104,0.848,2177.23,-0.09580509375870094,-0.7975518555932395
105,0.848,1597.44,0.15552745048805172,3.895582750029009
106,0.848,1608.02,0.1509411376538693,2.797116170454258
107,0.848,2155.9,-0.0865587749729626,-0.4071797218194818
108,0.848,2144.92,-0.08179906656848968,-0.32809445705075824
109,0.844,2144.71,-0.08570803389408721,-0.3638822509449739
110,0.849,2166.06,-0.08996302245833998,-0.3992566592016216
111,0.849,1907.48,0.022128543955922453,1.0202509758160225
112,0.88,1904.14,0.05457639696784777,1.3084167012741539
113,0.88,1902.89,0.05511825812500548,1.2000552340945208
114,0.88,1903.99,0.05464142030670671,1.1352434237573117
115,0.88,1901.0,0.055937552194627815,1.0455451875090904
116,0.88,1900.69,0.05607193376160291,0.9530088432637923
117,0.88,1901.64,0.05566011928216308,0.8636322847039102
118,0.88,2172.24,-0.06164198401932741,-0.47124316286721124
119,0.88,2175.9,-0.06322855348748513,-0.5161321681081414
120,0.88,1587.51,0.19183199552051222,2.036709481803667
121,0.88,1585.58,0.19266862914716365,1.7829949800835445
122,0.88,1737.5,0.12681299155085002,1.0383607854910917
123,0.871,1722.32,0.12439335344337266,0.9231600345372696
124,0.871,1726.56,0.12255536039829396,0.8225463185855685
125,0.934,1741.23,0.1791960778578916,1.2697620375193202
126,0.865,1740.32,0.11059055278030239,0.6082545057583036
127,0.865,1735.0,0.11289671386516531,0.6617023635946521
128,0.865,1739.72,0.11085064613573803,0.5684191997683471
129,0.865,1724.45,0.11747002203157597,0.5694850899559154
130,0.852,1731.25,0.10152229733663831,0.30574742751208844
131,0.852,1719.84,0.10646840597917351,0.2856683903594903
132,0.852,1730.67,0.1017737209135594,0.16512376221351036
133,0.852,2326.11,-0.15634292502080716,-2.770366807329535
134,0.852,1862.36,0.044687564284685566,-0.4144364265754934
135,0.852,1712.66,0.109580856465887,0.31168220477852243
136,0.863,1713.82,0.12007800931204482,0.397821441272301
137,0.863,1719.88,0.11745106642214442,0.3333074681643177
138,0.863,1732.04,0.11217984108531465,0.2411801741902716
139,0.863,1717.79,0.11835705827691201,0.23340611127155975
140,0.863,1722.75,0.11620695320531038,0.11015986601952193
141,0.863,1709.35,0.12201570481004065,0.2524300095980808
142,0.863,1704.34,0.12418748432792848,0.34979863674498207
143,0.863,1691.27,0.129853184587169,0.43657975432615004
144,0.863,1698.99,0.12650665008056328,0.3819450946807722
